,Cloudiness,country,Date,Humidity,lat,lon,City Name,Wind Speed,Max Temp
255,75,BJ,1570032431,94,6.37,2.43,Cotonou,9.17,77.0
256,0,NA,1570032431,5,-22.45,18.97,Gobabis,4.7,86.0
257,75,ET,1570032302,72,8.96,38.73,Lebu,9.17,62.6
258,0,ES,1570032431,19,37.47,-4.43,Cabra,10.29,82.0
259,22,IN,1570032432,84,25.33,76.51,Mangrol,6.33,76.7
260,40,GR,1570032432,69,39.42,22.43,Chara,9.17,77.0
261,100,GH,1570032433,86,4.87,-2.24,Axim,11.34,77.42
262,90,CA,1570032433,87,47.38,-61.86,Cap-aux-Meules,19.46,44.6
263,53,CM,1570032433,92,6.75,11.81,Banyo,2.46,69.32
264,0,MX,1570032434,75,27.97,-114.04,Guerrero Negro,8.77,65.9
265,19,AU,1570032435,81,-35.36,150.48,Ulladulla,3.85,54.0
266,100,AO,1570032358,7,-14.66,17.68,Menongue,8.28,91.28
267,40,MX,1570032405,72,23.99,-104.67,Constitucion,2.82,69.01
268,75,MU,1570032435,83,-20.34,57.76,Bambous Virieux,9.17,75.2
269,75,NO,1570032435,74,71.0,24.66,Havoysund,17.22,37.4
270,5,GB,1570032436,50,53.64,-2.41,Chapeltown,9.17,55.99
271,75,IE,1570032436,66,51.55,-9.27,Skibbereen,8.05,51.8
272,25,MW,1570032437,43,-11.9,33.6,Mzimba,12.28,78.86
273,100,ID,1570032437,83,-8.49,140.4,Merauke,24.52,78.68
274,40,MX,1570032438,70,16.86,-99.88,Acapulco,4.7,86.0
275,75,AO,1570032347,64,-15.19,12.15,Namibe,13.87,73.4
276,75,AO,1570032438,69,-6.13,12.37,Soyo,8.05,80.6
277,90,FR,1570032361,72,45.6,-0.6,Souillac,6.93,64.99
278,70,CA,1570032438,85,52.11,-101.27,Swan River,4.12,34.94
279,0,SA,1570032439,58,21.43,39.83,Mecca,13.65,90.2
280,0,ZA,1570032439,16,-27.7,23.05,Kathu,17.65,77.0
281,90,CN,1570032236,46,35.63,111.36,Houma,5.44,71.84
282,90,CL,1570032440,77,-23.65,-70.4,Antofagasta,16.11,59.0
283,90,CA,1570032440,100,69.44,-133.03,Tuktoyaktuk,3.36,35.6
284,75,NO,1570032302,88,78.22,15.63,Longyearbyen,4.7,32.0
285,75,AR,1570032440,59,-34.42,-58.58,Tigre,13.87,63.0
286,100,PL,1570032341,93,51.76,18.08,Kalisz,1.01,48.99
287,75,NO,1570032441,65,65.54,13.39,Trofors,4.94,44.6
288,0,AR,1570032441,21,-40.81,-62.99,Viedma,8.19,56.18
289,0,LK,1570032442,100,6.12,81.12,Hambantota,4.7,77.0
290,10,AU,1570032442,82,-25.3,152.85,Hervey Bay,8.05,60.01
291,100,CN,1570032366,22,42.84,93.51,Hami,13.24,59.96
292,29,LK,1570032442,77,5.97,80.42,Weligama,12.21,82.82
293,75,MV,1570032443,79,2.67,72.89,Kudahuvadhoo,15.1,82.82
